task_Id,time,start_time,end_time
1_M0,2.003225326538086,1607019241.1611264,1607019243.1643517
1_M1,3.0030789375305176,1607019241.162682,1607019244.165761
1_M3,4.001994609832764,1607019241.163774,1607019245.1657686
3_M0,1.001394510269165,1607019244.6621377,1607019245.6635323
2_M0,3.0026700496673584,1607019243.8231711,1607019246.8258412
3_M2,3.003417491912842,1607019244.662512,1607019247.6659296
6_M0,2.002013683319092,1607019246.7637548,1607019248.7657685
4_M0,3.0014400482177734,1607019246.0564227,1607019249.0578628
5_M1,4.001923084259033,1607019246.5719228,1607019250.5738459
6_R0,3.003308057785034,1607019248.7920501,1607019251.7953582
9_M1,2.0017874240875244,1607019251.5200305,1607019253.521818
8_M1,4.003550052642822,1607019251.3382711,1607019255.3418212
8_M0,4.004134654998779,1607019251.3378422,1607019255.341977
10_M2,3.0032598972320557,1607019253.4341483,1607019256.4374082
12_M1,1.000993251800537,1607019256.1768806,1607019257.1778738
11_M2,3.0022315979003906,1607019254.2875755,1607019257.289807
10_M0,4.0040764808654785,1607019253.433749,1607019257.4378254
12_M0,2.001383066177368,1607019256.1764195,1607019258.1778026
14_M0,1.0012829303741455,1607019258.1875715,1607019259.1888545
16_M3,2.0002799034118652,1607019259.289529,1607019261.289809
19_M3,1.0013339519500732,1607019261.0583913,1607019262.0597253
19_M0,1.0017175674438477,1607019261.0579062,1607019262.0596237
14_M1,4.001963138580322,1607019258.1878633,1607019262.1898265
16_M1,4.004154443740845,1607019259.2892985,1607019263.293453
16_M0,4.004415512084961,1607019259.288903,1607019263.2933185
20_M1,2.0025038719177246,1607019261.7150414,1607019263.7175453
20_R1,1.0008015632629395,1607019265.7290347,1607019266.7298362
20_R0,3.0010886192321777,1607019265.7286668,1607019268.7297554
21_M0,3.003308057785034,1607019265.9784195,1607019268.9817276
21_M2,4.003046274185181,1607019265.978725,1607019269.9817712
24_M1,1.0011985301971436,1607019269.6761096,1607019270.677308
22_M1,4.0008111000061035,1607019267.141063,1607019271.141874
22_M0,4.001136064529419,1607019267.1406937,1607019271.1418297
24_M0,3.00203800201416,1607019269.6757774,1607019272.6778154
24_R0,1.0013105869293213,1607019272.6991143,1607019273.700425
24_R1,3.0023586750030518,1607019272.6994784,1607019275.701837
23_R1,3.0031611919403076,1607019275.769468,1607019278.7726293
23_R0,4.000741481781006,1607019275.7690585,1607019279.7698
22_R1,3.0027875900268555,1607019279.8270383,1607019282.8298259
22_R0,3.003265619277954,1607019279.8267107,1607019282.8299763
21_R1,3.0005996227264404,1607019282.933282,1607019285.9338815
19_R0,2.001879930496216,1607019285.975936,1607019287.9778159
19_R1,4.001572608947754,1607019285.9762647,1607019289.9778373
18_R0,4.00189733505249,1607019290.0399287,1607019294.041826
17_R0,3.0031275749206543,1607019294.078688,1607019297.0818155
16_R0,2.000548839569092,1607019297.113367,1607019299.113916
16_R1,4.004006385803223,1607019297.113798,1607019301.1178043
15_R0,3.00348162651062,1607019301.190256,1607019304.1937377
14_R0,4.000796556472778,1607019304.2509186,1607019308.2517152
14_R1,4.002343416213989,1607019304.251409,1607019308.2537525
12_R1,1.0010168552398682,1607019308.3247766,1607019309.3257935
12_R0,1.0012836456298828,1607019308.3244717,1607019309.3257554
11_R1,1.0012385845184326,1607019309.414082,1607019310.4153206
11_R0,3.003281354904175,1607019309.4137704,1607019312.4170518
10_R1,3.0014426708221436,1607019312.4899812,1607019315.4914238
10_R0,4.004217863082886,1607019312.4895413,1607019316.4937592
9_R1,2.001110792160034,1607019316.551104,1607019318.5522149
9_R0,3.002980947494507,1607019316.5507889,1607019319.5537698
8_R0,2.0023763179779053,1607019319.5905225,1607019321.5928988
7_R0,3.003095865249634,1607019321.634697,1607019324.6377928
5_R0,2.0023927688598633,1607019324.6546235,1607019326.6570163
4_R0,3.0014450550079346,1607019326.7243602,1607019329.7258053
3_R0,3.000678777694702,1607019329.7931175,1607019332.7937963
2_R1,1.0012516975402832,1607019332.8564012,1607019333.857653
2_R0,3.0017058849334717,1607019332.8561223,1607019335.8578281
1_R0,4.003140211105347,1607019335.868984,1607019339.8721242
0_M0,1.0012719631195068,1607019339.9343004,1607019340.9355724
0_M1,2.0022635459899902,1607019339.934556,1607019341.9368196
0_R0,1.0013008117675781,1607019342.963997,1607019343.9652977
0_R1,3.0015523433685303,1607019342.9642894,1607019345.9658418
