Worker_id,No_Tasks,Time
1,0,1607090563.8251193
2,1,1607090563.8251193
3,0,1607090563.8251193
1,0,1607090563.8257842
2,2,1607090563.8257842
3,0,1607090563.8257842
1,1,1607090563.8262258
2,2,1607090563.8262258
3,0,1607090563.8262258
1,1,1607090565.843776
2,1,1607090565.843776
3,0,1607090565.843776
1,1,1607090566.8599143
2,0,1607090566.8599143
3,0,1607090566.8599143
1,0,1607090566.9626892
2,1,1607090566.9626892
3,0,1607090566.9626892
1,0,1607090566.96307
2,2,1607090566.96307
3,0,1607090566.96307
1,0,1607090566.9623868
2,2,1607090566.9623868
3,0,1607090566.9623868
1,0,1607090567.9841762
2,1,1607090567.9841762
3,0,1607090567.9841762
1,0,1607090571.0269854
2,1,1607090571.0269854
3,0,1607090571.0269854
1,0,1607090571.0273552
2,2,1607090571.0273552
3,0,1607090571.0273552
1,1,1607090571.0276718
2,2,1607090571.0276718
3,0,1607090571.0276718
1,1,1607090571.0279977
2,3,1607090571.0279977
3,0,1607090571.0279977
1,1,1607090571.0266716
2,3,1607090571.0266716
3,0,1607090571.0266716
1,1,1607090572.0598092
2,2,1607090572.0598092
3,0,1607090572.0598092
1,0,1607090572.1522224
2,2,1607090572.1522224
3,0,1607090572.1522224
1,0,1607090572.2140582
2,1,1607090572.2140582
3,0,1607090572.2140582
1,0,1607090575.0601206
2,1,1607090575.0601206
3,0,1607090575.0601206
1,0,1607090575.0598106
1,0,1607090575.060588
2,2,1607090575.060588
3,0,1607090575.060588
2,2,1607090575.0598106
3,0,1607090575.0598106
1,0,1607090577.091943
2,1,1607090577.091943
3,0,1607090577.091943
1,0,1607090578.128212
2,1,1607090578.128212
3,0,1607090578.128212
1,0,1607090578.127955
2,1,1607090578.127955
3,0,1607090578.127955
1,0,1607090579.160266
2,1,1607090579.160266
3,0,1607090579.160266
1,0,1607090579.1606781
2,2,1607090579.1606781
3,0,1607090579.1606781
1,0,1607090579.159964
2,2,1607090579.159964
3,0,1607090579.159964
1,0,1607090581.1816995
2,1,1607090581.1816995
3,0,1607090581.1816995
1,0,1607090582.221201
2,1,1607090582.221201
3,0,1607090582.221201
1,0,1607090582.2209358
1,0,1607090582.221603
2,2,1607090582.221603
3,0,1607090582.221603
2,2,1607090582.2209358
1,1,1607090582.221985
2,2,1607090582.221985
3,0,1607090582.221985
1,1,1607090582.2223153
2,3,1607090582.2223153
3,0,1607090582.2223153
3,0,1607090582.2209358
1,0,1607090583.2433476
2,3,1607090583.2433476
3,0,1607090583.2433476
1,0,1607090583.3411374
2,2,1607090583.3411374
3,0,1607090583.3411374
1,0,1607090583.4440389
2,1,1607090583.4440389
3,0,1607090583.4440389
1,0,1607090586.2564497
2,1,1607090586.2564497
3,0,1607090586.2564497
1,0,1607090586.2559624
1,0,1607090586.2572145
2,2,1607090586.2572145
3,0,1607090586.2572145
2,2,1607090586.2559624
3,0,1607090586.2559624
1,0,1607090590.2776392
2,1,1607090590.2776392
