Worker_id,No_Tasks,Time
1,1,1607070321.414324
2,0,1607070321.414324
3,0,1607070321.414324
1,1,1607070321.4213028
2,1,1607070321.4213028
3,0,1607070321.4213028
1,0,1607070324.473519
2,1,1607070324.473519
3,0,1607070324.473519
1,0,1607070325.5172813
2,0,1607070325.5172813
3,1,1607070325.5172813
1,0,1607070325.5192564
2,0,1607070325.5192564
3,1,1607070325.5192564
1,1,1607070329.6316762
2,0,1607070329.6316762
3,0,1607070329.6316762
1,1,1607070329.6346257
2,0,1607070329.6346257
3,0,1607070329.6346257
1,1,1607070329.6675396
2,1,1607070329.6675396
3,0,1607070329.6675396
1,1,1607070329.698453
2,1,1607070329.698453
3,1,1607070329.698453
1,0,1607070332.7047687
2,1,1607070332.7047687
3,1,1607070332.7047687
1,0,1607070333.02591
2,1,1607070333.02591
3,0,1607070333.02591
1,1,1607070333.7365434
2,0,1607070333.7365434
3,0,1607070333.7365434
1,1,1607070333.7405326
2,0,1607070333.7405326
3,0,1607070333.7405326
1,1,1607070333.743527
2,1,1607070333.743527
3,0,1607070333.743527
1,0,1607070334.8327105
2,1,1607070334.8327105
3,0,1607070334.8327105
1,0,1607070336.9418132
2,0,1607070336.9418132
3,1,1607070336.9418132
1,0,1607070336.954749
2,0,1607070336.954749
3,1,1607070336.954749
1,1,1607070336.9827328
2,0,1607070336.9827328
3,1,1607070336.9827328
1,0,1607070338.055137
2,0,1607070338.055137
3,1,1607070338.055137
1,0,1607070340.0342472
2,1,1607070340.0342472
3,0,1607070340.0342472
1,0,1607070340.046223
2,1,1607070340.046223
3,0,1607070340.046223
1,0,1607070340.0631762
2,1,1607070340.0631762
3,1,1607070340.0631762
1,0,1607070341.1329584
2,0,1607070341.1329584
3,1,1607070341.1329584
1,1,1607070344.3470943
2,0,1607070344.3470943
3,0,1607070344.3470943
1,1,1607070344.349091
2,0,1607070344.349091
3,0,1607070344.349091
1,0,1607070348.4262424
2,1,1607070348.4262424
3,0,1607070348.4262424
1,0,1607070348.4293497
2,1,1607070348.4293497
3,0,1607070348.4293497
1,0,1607070352.620831
2,0,1607070352.620831
3,1,1607070352.620831
1,0,1607070352.623829
2,0,1607070352.623829
3,1,1607070352.623829
1,1,1607070352.6480396
2,0,1607070352.6480396
3,1,1607070352.6480396
1,1,1607070352.6809418
2,1,1607070352.6809418
3,1,1607070352.6809418
1,1,1607070356.7106628
2,1,1607070356.7106628
3,0,1607070356.7106628
1,0,1607070356.9879193
2,1,1607070356.9879193
3,0,1607070356.9879193
1,0,1607070357.2777236
2,0,1607070357.2777236
3,1,1607070357.2777236
1,0,1607070357.2837074
2,0,1607070357.2837074
3,1,1607070357.2837074
1,1,1607070360.4898536
2,0,1607070360.4898536
3,0,1607070360.4898536
1,1,1607070360.4928513
2,0,1607070360.4928513
3,0,1607070360.4928513
1,0,1607070364.5464365
2,1,1607070364.5464365
3,0,1607070364.5464365
1,0,1607070364.5543776
2,1,1607070364.5543776
3,0,1607070364.5543776
1,0,1607070365.7353158
2,0,1607070365.7353158
3,1,1607070365.7353158
1,0,1607070365.7372785
2,0,1607070365.7372785
3,1,1607070365.7372785
1,1,1607070365.7412677
2,0,1607070365.7412677
3,1,1607070365.7412677
1,1,1607070365.7592223
2,1,1607070365.7592223
3,1,1607070365.7592223
1,0,1607070368.8424506
2,1,1607070368.8424506
3,1,1607070368.8424506
1,0,1607070369.1202095
2,1,1607070369.1202095
3,0,1607070369.1202095
1,0,1607070369.410067
2,0,1607070369.410067
3,1,1607070369.410067
1,0,1607070369.4130323
2,0,1607070369.4130323
3,1,1607070369.4130323
1,1,1607070370.5874798
2,0,1607070370.5874798
3,0,1607070370.5874798
1,1,1607070370.5904343
2,0,1607070370.5904343
3,0,1607070370.5904343
1,1,1607070370.5954235
2,1,1607070370.5954235
3,0,1607070370.5954235
1,1,1607070370.5994112
2,1,1607070370.5994112
3,1,1607070370.5994112
1,0,1607070371.6526897
2,1,1607070371.6526897
3,1,1607070371.6526897
1,0,1607070372.7014587
2,0,1607070372.7014587
3,1,1607070372.7014587
1,1,1607070374.6751237
2,0,1607070374.6751237
3,0,1607070374.6751237
1,1,1607070374.6770828
2,0,1607070374.6770828
3,0,1607070374.6770828
1,0,1607070375.858421
2,1,1607070375.858421
3,0,1607070375.858421
1,0,1607070375.8603802
2,1,1607070375.8603802
3,0,1607070375.8603802
1,0,1607070375.863372
2,1,1607070375.863372
3,1,1607070375.863372
1,1,1607070375.8673625
2,1,1607070375.8673625
3,1,1607070375.8673625
1,1,1607070376.9269323
2,1,1607070376.9269323
3,0,1607070376.9269323
1,1,1607070377.2361636
2,0,1607070377.2361636
3,0,1607070377.2361636
1,0,1607070377.9432738
2,1,1607070377.9432738
3,0,1607070377.9432738
1,0,1607070377.9512587
2,1,1607070377.9512587
3,0,1607070377.9512587
1,0,1607070382.1637065
2,0,1607070382.1637065
3,1,1607070382.1637065
1,0,1607070382.1657026
2,0,1607070382.1657026
3,1,1607070382.1657026
1,1,1607070383.2329507
2,0,1607070383.2329507
3,0,1607070383.2329507
1,1,1607070383.2389338
2,0,1607070383.2389338
3,0,1607070383.2389338
1,1,1607070383.2439208
2,1,1607070383.2439208
3,0,1607070383.2439208
1,0,1607070384.327092
2,1,1607070384.327092
3,0,1607070384.327092
1,0,1607070386.4089398
2,0,1607070386.4089398
3,1,1607070386.4089398
1,0,1607070386.4108956
2,0,1607070386.4108956
3,1,1607070386.4108956
1,1,1607070386.4198716
2,0,1607070386.4198716
3,1,1607070386.4198716
1,1,1607070386.4238591
2,1,1607070386.4238591
3,1,1607070386.4238591
1,0,1607070387.5030138
2,1,1607070387.5030138
3,1,1607070387.5030138
1,0,1607070388.4745326
2,1,1607070388.4745326
3,0,1607070388.4745326
1,0,1607070389.5142398
2,0,1607070389.5142398
3,1,1607070389.5142398
1,0,1607070389.5162342
2,0,1607070389.5162342
3,1,1607070389.5162342
1,1,1607070392.695242
2,0,1607070392.695242
3,0,1607070392.695242
1,1,1607070392.6972358
2,0,1607070392.6972358
3,0,1607070392.6972358
1,1,1607070392.7122018
2,1,1607070392.7122018
3,0,1607070392.7122018
1,1,1607070392.7341406
2,1,1607070392.7341406
3,1,1607070392.7341406
1,2,1607070392.762062
2,1,1607070392.762062
3,1,1607070392.762062
1,2,1607070393.7987697
2,0,1607070393.7987697
3,1,1607070393.7987697
1,1,1607070394.8156223
2,0,1607070394.8156223
3,1,1607070394.8156223
1,0,1607070395.7682765
2,0,1607070395.7682765
3,1,1607070395.7682765
1,0,1607070396.787646
2,1,1607070396.787646
3,0,1607070396.787646
1,0,1607070396.7906327
2,1,1607070396.7906327
3,0,1607070396.7906327
1,0,1607070396.8065896
2,1,1607070396.8065896
3,1,1607070396.8065896
1,0,1607070397.9063148
2,1,1607070397.9063148
3,0,1607070397.9063148
1,1,1607070398.9309978
2,0,1607070398.9309978
3,0,1607070398.9309978
1,1,1607070398.932995
2,0,1607070398.932995
3,0,1607070398.932995
1,1,1607070398.937979
2,1,1607070398.937979
3,0,1607070398.937979
1,0,1607070402.9804173
2,1,1607070402.9804173
3,0,1607070402.9804173
1,0,1607070403.2417498
2,0,1607070403.2417498
3,1,1607070403.2417498
1,0,1607070403.244735
2,0,1607070403.244735
3,1,1607070403.244735
1,1,1607070403.2487218
2,0,1607070403.2487218
3,1,1607070403.2487218
1,0,1607070404.3284457
2,0,1607070404.3284457
3,1,1607070404.3284457
1,0,1607070407.412961
2,1,1607070407.412961
3,0,1607070407.412961
1,0,1607070407.4159555
2,1,1607070407.4159555
3,0,1607070407.4159555
1,0,1607070407.4219394
2,1,1607070407.4219394
3,1,1607070407.4219394
1,0,1607070409.4964936
2,0,1607070409.4964936
3,1,1607070409.4964936
1,1,1607070411.4930167
2,0,1607070411.4930167
3,0,1607070411.4930167
1,1,1607070411.4969788
2,0,1607070411.4969788
3,0,1607070411.4969788
1,1,1607070411.499966
2,1,1607070411.499966
3,0,1607070411.499966
1,0,1607070413.5827532
2,1,1607070413.5827532
3,0,1607070413.5827532
1,0,1607070415.6864548
2,0,1607070415.6864548
3,1,1607070415.6864548
1,0,1607070415.6884527
2,0,1607070415.6884527
3,1,1607070415.6884527
1,1,1607070418.7453911
2,0,1607070418.7453911
3,0,1607070418.7453911
1,1,1607070418.7514782
2,0,1607070418.7514782
3,0,1607070418.7514782
1,0,1607070419.8876317
2,1,1607070419.8876317
3,0,1607070419.8876317
1,0,1607070419.890627
2,1,1607070419.890627
3,0,1607070419.890627
1,0,1607070419.8946147
2,1,1607070419.8946147
3,1,1607070419.8946147
1,1,1607070419.898603
2,1,1607070419.898603
3,1,1607070419.898603
1,1,1607070419.902594
2,2,1607070419.902594
3,1,1607070419.902594
1,1,1607070420.9738576
2,1,1607070420.9738576
3,1,1607070420.9738576
1,1,1607070421.968566
2,1,1607070421.968566
3,0,1607070421.968566
1,1,1607070423.9901545
2,0,1607070423.9901545
3,0,1607070423.9901545
1,0,1607070424.3172393
2,0,1607070424.3172393
3,1,1607070424.3172393
1,0,1607070424.3212266
2,0,1607070424.3212266
3,1,1607070424.3212266
1,1,1607070425.493988
2,0,1607070425.493988
3,0,1607070425.493988
1,1,1607070425.4959476
2,0,1607070425.4959476
3,0,1607070425.4959476
1,1,1607070425.499937
2,1,1607070425.499937
3,0,1607070425.499937
1,1,1607070425.5039253
2,1,1607070425.5039253
3,1,1607070425.5039253
1,2,1607070425.5079162
2,1,1607070425.5079162
3,1,1607070425.5079162
1,2,1607070426.5554135
2,0,1607070426.5554135
3,1,1607070426.5554135
1,1,1607070426.849627
2,0,1607070426.849627
3,1,1607070426.849627
1,0,1607070429.593808
2,0,1607070429.593808
3,1,1607070429.593808
1,0,1607070429.9349263
2,1,1607070429.9349263
3,0,1607070429.9349263
1,0,1607070429.9368892
2,1,1607070429.9368892
3,0,1607070429.9368892
1,0,1607070429.9528468
2,1,1607070429.9528468
3,1,1607070429.9528468
1,0,1607070432.0019817
2,1,1607070432.0019817
3,0,1607070432.0019817
1,1,1607070433.1079817
2,0,1607070433.1079817
3,0,1607070433.1079817
1,1,1607070433.1109726
2,0,1607070433.1109726
3,0,1607070433.1109726
1,0,1607070434.1851068
2,1,1607070434.1851068
3,0,1607070434.1851068
1,0,1607070434.189093
2,1,1607070434.189093
3,0,1607070434.189093
1,0,1607070434.1920834
2,1,1607070434.1920834
3,1,1607070434.1920834
1,0,1607070435.2631412
2,0,1607070435.2631412
3,1,1607070435.2631412
1,1,1607070435.6633356
2,0,1607070435.6633356
3,0,1607070435.6633356
1,1,1607070435.6652966
2,0,1607070435.6652966
3,0,1607070435.6652966
1,1,1607070435.6692858
2,1,1607070435.6692858
3,0,1607070435.6692858
1,1,1607070435.6732743
2,1,1607070435.6732743
3,1,1607070435.6732743
1,2,1607070435.676266
2,1,1607070435.676266
3,1,1607070435.676266
1,2,1607070436.7342227
2,1,1607070436.7342227
3,0,1607070436.7342227
1,1,1607070437.029471
2,1,1607070437.029471
3,0,1607070437.029471
1,1,1607070437.7405453
2,0,1607070437.7405453
3,0,1607070437.7405453
1,0,1607070438.7409384
2,1,1607070438.7409384
3,0,1607070438.7409384
1,0,1607070438.7449267
2,1,1607070438.7449267
3,0,1607070438.7449267
1,0,1607070438.7489157
2,1,1607070438.7489157
3,1,1607070438.7489157
1,0,1607070439.8381581
2,1,1607070439.8381581
3,0,1607070439.8381581
1,1,1607070442.8989732
2,0,1607070442.8989732
3,0,1607070442.8989732
1,1,1607070442.9009695
2,0,1607070442.9009695
3,0,1607070442.9009695
1,0,1607070445.9808187
2,1,1607070445.9808187
3,0,1607070445.9808187
1,0,1607070445.9858057
2,1,1607070445.9858057
3,0,1607070445.9858057
1,0,1607070449.186215
